,fips,poor-fair_health,obesity,below_18,over_65,smoking,drinking,Ethnic_Minority,AA,Asian,Hispanic,income_inequality,child_poverty,uninsured,household_income,unemployment,% labor_force,population,shape area,rural-urban_code,urban-influence_code,population density,rural,total cases,total deaths,% total cases,% total deaths,av_cases,av_deaths,av_days_spreading,av_r_SIR1,av_r_SIR2,av_r_ratio14,av_r_ratio8
1,1001.0,0.1841112436,0.375,0.2393701355,0.1511963102,0.191246585,0.1687801512,0.23391106960000002,0.1925446815,0.0127918709,0.0285745172,4.6366638778,0.193,0.1343729432,59338.0,2.7,0.468452988240348,55869.0,2208657061.94531,2.0,2.0,25.295461646179007,0.4200216232,7017.0,203.0,0.12642332084174113,0.0036573940616892475,55.07692307692308,2.123076923076923,32.0,1.5177113590111107,1.555191454813042,2.288632033043285,1.7087944624600813
2,1003.0,0.1806045782,0.31,0.2184848656,0.1994704366,0.1679548515,0.1671496869,0.1465987546,0.0895319525,0.0115647986,0.0455020035,4.5185596041,0.147,0.1680833746,57588.0,2.7,0.43599093328077265,223234.0,5908821803.77539,3.0,2.0,37.779782063721505,0.4227909911,13678.0,368.0,0.06432831047651297,0.001730722200274658,124.38666666666667,3.2266666666666666,37.0,1.535960514494525,1.8597539836048618,4.451255608772258,2.2090649351010874
3,1005.0,0.2577341563,0.443,0.2076375148,0.1882469331,0.2154087757,0.1269871542,0.5261179263,0.4794222398,0.004629996,0.0420656905,5.7550626063,0.503,0.1944366337,34382.0,3.8,0.3458235437089848,24686.0,3257904936.69141,6.0,6.0,7.577262222104631,0.677896347,5038.0,43.0,0.19936683814800157,0.001701622477245746,46.56363636363636,0.5272727272727272,27.0,1.3867159082943423,0.8473914468701937,2.9885869329616597,2.0200834383706643
4,1007.0,0.1999691186,0.378,0.2060614082,0.1602258691,0.1991640424,0.1592515079,0.24316216689999998,0.2145756132,0.0022057526,0.0263808011,4.2545944386,0.273,0.1491676576,46064.0,3.1,0.38782709654371705,22394.0,2311988848.9804697,1.0,1.0,9.68603287592637,0.6835260746,3108.0,34.0,0.13710958178930652,0.0014999117698958884,33.932203389830505,0.3389830508474576,29.0,1.1771013111402044,0.17184474977915307,2.207158291677787,1.620320546240751
5,1009.0,0.2109532316,0.344,0.2334993881,0.1784255253,0.1965215818,0.1537872189,0.1132677159,0.0146001758,0.0030165653,0.0956509748,4.1268834637,0.185,0.1899474037,50412.0,2.7,0.4380555459481894,57826.0,2456902753.78125,1.0,1.0,23.536137077873345,0.8995150204,2787.0,25.0,0.04804095633737266,0.00043093789323082757,28.765625,0.171875,31.5,1.1332219554717888,0.12780943938569056,1.9161374518500793,1.5007433346267867
6,1011.0,0.2940771388,0.394,0.2071005917,0.1582112717,0.2347829118,0.1289631731,0.7760209526,0.691628674,0.0019400524,0.0824522262,6.5995234786,0.483,0.20460833099999998,29267.0,3.6,0.476982476982477,10101.0,2262903283.66406,6.0,6.0,4.463734739756358,0.5137438153,4700.0,116.0,0.45591230963236007,0.01125230381220293,25.904761904761905,0.4444444444444444,31.0,1.450245338986112,1.1470954017182327,3.0690614865901336,1.9127332708705373
7,1013.0,0.265026132,0.402,0.2273392182,0.1955611602,0.2219765552,0.1304281127,0.4708196721,0.4461538462,0.0102900378,0.0143757881,5.1227855834,0.33,0.1647866838,37365.0,3.6,0.47629576306046895,19448.0,2794759350.875,6.0,6.0,6.958738681350543,0.7123215735,12811.0,469.0,0.646204287515763,0.023656998738965953,106.375,3.0625,31.5,1.747465880879179,3.6352372463959246,4.8716801750037035,2.5046412142106416
8,1015.0,0.1958470142,0.371,0.2178979848,0.1731225159,0.2046223175,0.1543167701,0.25530820730000003,0.2079004254,0.0099103968,0.0374973851,4.9838135691,0.242,0.16735839900000002,45400.0,3.5,0.40675146340389945,113605.0,2300896627.2382803,3.0,2.0,49.374230313144395,0.3369682556,7750.0,163.0,0.06755107733073007,0.0014207516909560004,75.08450704225352,1.704225352112676,35.0,1.3010047524221173,0.6034925358238186,4.863692154946112,2.319517505521509
9,1017.0,0.2521983554,0.403,0.2113724676,0.1907869368,0.2204036962,0.1352845089,0.4317622283,0.3948921781,0.0124877644,0.0243822858,4.7392343032,0.296,0.16007458230000002,39917.0,2.9,0.47356708967342276,33254.0,2222661049.4375,6.0,5.0,14.961345549478072,0.4914803449,20183.0,1308.0,0.598671135763652,0.03879808975766025,213.24285714285713,13.585714285714285,34.5,1.6829126311696017,2.841974197422462,7.111977914166248,3.0245490288683143
10,1019.0,0.1929159345,0.363,0.197122636,0.2261669954,0.1914485261,0.1523273067,0.0615694009,0.042154929,0.002977917,0.0164365549,4.7860693573,0.25,0.1792090337,42132.0,2.9,0.4429683921209345,26196.0,2276005503.4843802,6.0,6.0,11.509638249949766,0.8573627304,1530.0,58.0,0.05917159763313609,0.0022431063155045057,15.265625,0.1875,31.5,1.0591023901853676,0.04310396766995763,2.10566522869652,1.6836598357217065
11,1021.0,0.2146530717,0.353,0.2387500851,0.1635918034,0.1967327502,0.1506431265,0.1836521659,0.1008010529,0.0049923979,0.0778587151,4.9695319741,0.226,0.22223538780000002,47547.0,2.7,0.4460700459169893,44428.0,2578836974.0507803,1.0,1.0,17.227921131522123,0.8674472424,4592.0,55.0,0.10420496062813443,0.0012480994848753034,47.75,0.5625,31.5,1.2198554533730361,0.28589800410356003,2.088908183426736,1.618885658847692
12,1023.0,0.2411128491,0.413,0.2009269988,0.2274237157,0.1906205957,0.1302524035,0.4275009656,0.4162997296,0.0014677482,0.0097334878,5.7710777838,0.348,0.1732337017,39907.0,4.7,0.37095877353244894,12589.0,3327534587.15234,9.0,10.0,3.783281486721825,1.0,5024.0,190.0,0.3881035148706064,0.014677481653147934,45.507936507936506,0.9047619047619048,31.0,1.292584813040391,0.4723831166569271,2.7787394655313653,1.8950558318303272
13,1025.0,0.2770052858,0.396,0.2187850351,0.1927915957,0.2093332271,0.1335369528,0.45982643360000003,0.4415562845,0.005024291,0.0132458581,8.1651173934,0.319,0.1732345089,40741.0,5.8,0.31991363982727966,23622.0,4492988070.19141,7.0,11.0,5.257525644619318,0.7598033523,4567.0,83.0,0.18963584271062575,0.003446414483245443,43.473684210526315,0.9122807017543859,28.0,1.3204281762791377,0.5460368096920046,2.319996674115317,1.7414469343911436
14,1027.0,0.2058763477,0.377,0.2057305304,0.2024388419,0.1913940444,0.1481913369,0.1719907234,0.1383257275,0.0024687664,0.0311962295,4.9053231939,0.255,0.2064954484,39201.0,3.0,0.46097468832640726,13235.0,2251226671.9179697,9.0,10.0,5.879017055499002,1.0,1534.0,77.0,0.11476023041819405,0.0057604548514999625,17.796875,0.765625,31.5,1.0329022176829477,0.022304998278727006,2.155457672603813,1.7670455610154243
15,1029.0,0.1830098389,0.345,0.2294630872,0.1910738255,0.1971051177,0.1597004722,0.057046979799999994,0.0308053691,0.0020134228,0.0242281879,4.9114021572,0.224,0.1872441565,46495.0,3.2,0.3894030851777331,14910.0,2103517783.32812,8.0,4.0,7.08812643190963,1.0,922.0,53.0,0.061879194630872485,0.0035570469798657718,10.953125,0.609375,31.5,1.0141645861836583,0.010219680528312855,1.622544642857143,1.3554573031135542
